tahun,provinsi,nama_kabupaten,nama_kecamatan,nama_kelurahan,usia,jenis_kelamin,jumlah 
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,50-54,Laki-Laki,1172
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,55-59,Laki-Laki,929
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,60-64,Laki-Laki,640
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,65-69,Laki-Laki,404
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,70-75,Laki-Laki,293
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARANG ANYAR,>75,Laki-Laki,225
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,0-4,Laki-Laki,717
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,05-09,Laki-Laki,1046
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,10-14,Laki-Laki,1051
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,15-19,Laki-Laki,1163
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,20-24,Laki-Laki,1029
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,25-29,Laki-Laki,1068
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,30-34,Laki-Laki,1178
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,35-39,Laki-Laki,1253
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,40-44,Laki-Laki,1167
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,45-49,Laki-Laki,1141
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,50-54,Laki-Laki,1002
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,55-59,Laki-Laki,876
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,60-64,Laki-Laki,627
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,65-69,Laki-Laki,457
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,70-75,Laki-Laki,267
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,KARTINI,>75,Laki-Laki,242
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,0-4,Laki-Laki,485
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,05-09,Laki-Laki,730
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,10-14,Laki-Laki,746
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,15-19,Laki-Laki,794
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,20-24,Laki-Laki,788
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,25-29,Laki-Laki,684
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,30-34,Laki-Laki,771
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,35-39,Laki-Laki,794
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,40-44,Laki-Laki,851
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,45-49,Laki-Laki,865
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,50-54,Laki-Laki,763
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,55-59,Laki-Laki,698
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,60-64,Laki-Laki,456
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,65-69,Laki-Laki,360
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,70-75,Laki-Laki,252
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,>75,Laki-Laki,227
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,0-4,Laki-Laki,1058
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,05-09,Laki-Laki,1443
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,10-14,Laki-Laki,1357
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,15-19,Laki-Laki,1318
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,20-24,Laki-Laki,1341
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,25-29,Laki-Laki,1411
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,30-34,Laki-Laki,1760
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,35-39,Laki-Laki,1879
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,40-44,Laki-Laki,1690
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,45-49,Laki-Laki,1486
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,50-54,Laki-Laki,1276
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,55-59,Laki-Laki,1036
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,60-64,Laki-Laki,709
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,65-69,Laki-Laki,466
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,70-75,Laki-Laki,296
2017,DKI Jakarta,JAKARTA PUSAT,SAWAH BESAR,MANGGA DUA SELATAN,>75,Laki-Laki,235
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,0-4,Laki-Laki,727
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,05-09,Laki-Laki,1084
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,10-14,Laki-Laki,1061
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,15-19,Laki-Laki,985
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,20-24,Laki-Laki,959
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,25-29,Laki-Laki,986
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,30-34,Laki-Laki,1182
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,35-39,Laki-Laki,1248
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,40-44,Laki-Laki,1039
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,45-49,Laki-Laki,1024
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,50-54,Laki-Laki,941
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,55-59,Laki-Laki,747
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,60-64,Laki-Laki,519
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,65-69,Laki-Laki,360
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,70-75,Laki-Laki,213
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEMAYORAN,>75,Laki-Laki,199
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,0-4,Laki-Laki,1123
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,05-09,Laki-Laki,1626
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,10-14,Laki-Laki,1616
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,15-19,Laki-Laki,1528
2017,DKI Jakarta,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,20-24,Laki-Laki,1277
