"","tahun","nama_provinsi","nama_kabupaten.kota","nama_kecamatan","nama_kelurahan","jenis_pekerjaan","jumlah"
"200",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Karyawan BUMD",NA
"201",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Karyawan Honorer",17
"202",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Buruh Harian Lepas",4747
"203",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Buruh Tani / Perkebunan",4
"204",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Buruh Nelayan / Perikanan",3
"205",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Buruh Perternakkan",NA
"206",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Pembantu Rumah Tangga",NA
"207",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Cukur",NA
"208",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Listrik",NA
"209",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Batu",NA
"210",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Batu",NA
"211",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Kayu",NA
"212",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Sol Sepatu",NA
"213",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Las / Pandai Besi",NA
"214",2013,"PROVINSI DKI JAKARTA","JAKARTA UTARA","PENJARINGAN","PENJARINGAN","Tukang Las / Pandai Besi",NA
